outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,setpoint,month,hour,totCLG
15,0.00747310450523628,62,0,309.397630620258,-19.3981010991426,23.2096314273271,23.2121742571906,8,21,0
13.9,0.00752172989305135,67,0,322.899293305688,-27.1551010977389,22.1172007076797,22.108489494397,8,22,0
12.2,0.00753405132750325,75,0,338.546823052823,-32.6389205137679,21.1476612861399,21.139484432017,8,23,0
11.1,0.00737727454719256,79,0,4.03782349003163,-35.4488337024605,21.8619706995499,21.8689924931789,8,0,0
10.6,0.00740717715487537,82,0,13.8036041983637,-34.4925545256803,22.0629721528131,22.0643072006257,8,1,0
10,0.00728818373212972,84,0,30.416421147538,-30.2686888683174,23.6385368770812,23.64210656831,8,2,0
9.4,0.0072499110041428,87,0,44.9316674312787,-23.4211866181252,21.6263092164905,21.6214619556077,8,3,0
8.9,0.00716969098902595,89,0,57.3850555841897,-14.7058162261899,21.9963890519528,21.9989211337599,8,4,0
8.9,0.00716969098902595,89,0,68.2866595662851,-4.75818989411658,22.6549206917812,22.6598195959523,8,5,0
9.4,0.00716561865073039,86,283.5,78.2771999904467,5.94549158289996,21.9493654743811,21.9418372999225,8,6,0
10,0.0072004152066779,83,630.5,88.0294749484876,17.0394902721675,23.265058610158,23.2679699948983,8,7,0
11.7,0.00718845324274011,74,739.5,98.3117043942061,28.1956710056697,23.844720829579,23.8496986063908,8,8,0
13.9,0.00718104757574111,64,821.5,110.168448499258,39.0289579328985,23.8579298302283,23.8579204539091,8,9,0
17.2,0.00721004348295815,52,881.5,125.221822422049,48.9382954236176,23.9421854165032,23.9439134798358,8,10,0
20.6,0.00720162539320402,42,919,145.826482179617,56.8123780566375,23.1321604651717,23.1209641865116,8,11,0
23.3,0.00727933685464385,36,936.5,173.252950511274,60.7745060524939,22.8167425277428,22.8155856040949,8,12,0.07920859505482
25.6,0.00719266327835824,31,930.5,202.59006343474,59.2076607521745,22.7472706971181,22.7507040781652,8,13,0.353562781722532
27.2,0.00713897153949028,28,902,226.354642181964,52.8241734830494,22.7051563674028,22.709245406358,8,14,0.61912698308175
27.8,0.00712980309289095,27,851.5,243.58800768238,43.6472444821442,22.4357899269769,22.4374006299612,8,15,0.712826858142945
27.2,0.00713897153949028,28,779,256.633565343537,33.133067371119,21.7735244387929,21.770984952474,8,16,0.686675360408323
25.6,0.00719266327835824,31,682.5,267.46789435486,22.0663391775035,22.2585789296838,22.2662723732435,8,17,0.1759044444136
23.3,0.00727933685464385,36,313.5,277.352360364962,10.9030046231968,22.5368906941297,22.5416823226066,8,18,0.0128918373982427
21.1,0.0072503982547399,41,0,287.149686399995,-0.0172770057471941,23.2338291727693,23.2486322273749,8,19,0
18.3,0.00713239158330977,48,0,297.560595075451,-10.3554874168435,21.8068543351847,21.7984654427613,8,20,0
16.7,0.00711825955629806,53,0,309.240734166288,-19.6932216247105,21.2730066151073,21.2644459237852,8,21,0
15,0.00710737064720038,59,0,322.785450325844,-27.4693074491282,22.8757236808823,22.8798159319487,8,22,0
13.3,0.00712102929174543,66,0,338.501763423233,-32.9668271951964,22.349221501937,22.3402110285953,8,23,0
12.8,0.00699496466054496,67,0,3.98875159738432,-35.78018684308,22.5145302834644,22.5136067495974,8,0,0
11.7,0.006991986696177,72,0,13.9455955679478,-34.8051916883719,23.3097594629131,23.3171906957797,8,1,0
10.6,0.007041760682724,78,0,30.6258309146075,-30.5493476969739,23.69227484592,23.6949479818933,8,2,0
10,0.00693725646931348,80,0,45.1783922702565,-23.6665972026684,21.8373211562106,21.8306690768807,8,3,0
9.4,0.00691287703885131,83,0,57.6497321554625,-14.9200865568054,21.1948914641281,21.1877810771957,8,4,0
8.3,0.00688091929169573,89,0,68.5617161724123,-4.9486416255315,23.7725438898289,23.7755517049088,8,5,0
8.3,0.00680275999137663,88,282,78.5629156347225,5.77055339465508,23.5373432308464,23.5339544449389,8,6,0
