outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,zoneHTGstp,month,hour,outDryBulbTempPrev,outHumidityRatioPrev,outRelHumidityPrev,directSolarRadPrev,solAzimAnglePrev,solAltAnglePrev,zoneMeanAirTempPrev,zoneHTGstpPrev,hourPrev,totHTGPrev,totHTG
5.6,0.00573662937022775,99,0,40.0405405833199,-67.1083432041899,18.4796652095257,18.476093288336,12,1,5,0.00555606471764405,100,0,2.20816863701351,-71.2746985745022,20.5737975132434,20.5747952289425,0,5.97616676743002,5.97964922882445
5.6,0.00573662937022775,99,0,63.5192870029707,-58.2448935644543,19.2217540506992,19.2259825997062,12,2,5.6,0.00573662937022775,99,0,40.0405405833199,-67.1083432041899,18.4796652095257,18.476093288336,1,5.97964922882445,5.24569193381741
6.1,0.00569848816467043,95,0,78.3790375144307,-47.6541779869787,19.9393630108307,19.9432501198954,12,3,5.6,0.00573662937022775,99,0,63.5192870029707,-58.2448935644543,19.2217540506992,19.2259825997062,2,5.24569193381741,5.50768045731715
6.1,0.00569848816467043,95,0,89.4577937737197,-36.5256725139864,18.754315155071,18.7496061602731,12,4,6.1,0.00569848816467043,95,0,78.3790375144307,-47.6541779869787,19.9393630108307,19.9432501198954,3,5.50768045731715,5.000985585739
6.7,0.00562597154826008,90,0,98.9677821436309,-25.365010637626,20.9178641457192,20.9193312018621,12,5,6.1,0.00569848816467043,95,0,89.4577937737197,-36.5256725139864,18.754315155071,18.7496061602731,4,5.000985585739,7.36425646896641
6.7,0.00562597154826008,90,0,108.022661877018,-14.4811344640654,19.2869499451325,19.2826603881875,12,6,6.7,0.00562597154826008,90,0,98.9677821436309,-25.365010637626,20.9178641457192,20.9193312018621,5,7.36425646896641,5.22208560867932
7.2,0.00549785699277746,85,0,117.317340430339,-4.15004873628113,19.9111470876471,19.9147733374999,12,7,6.7,0.00562597154826008,90,0,108.022661877018,-14.4811344640654,19.2869499451325,19.2826603881875,6,5.22208560867932,4.98372322821609
7.2,0.00549785699277746,85,0,127.382716627375,5.31232006067112,19.6577469999928,19.6551741365624,12,8,7.2,0.00549785699277746,85,0,117.317340430339,-4.15004873628113,19.9111470876471,19.9147733374999,7,4.98372322821609,4.4878907350636
7.2,0.00536737932747193,83,0,138.656450107275,13.5066165071061,20.9496840805488,20.9531817127022,12,9,7.2,0.00549785699277746,85,0,127.382716627375,5.31232006067112,19.6577469999928,19.6551741365624,8,4.4878907350636,5.31025310968463
7.8,0.00539015015514162,80,0,151.425072301913,19.9343437428989,19.7956769542602,19.7880351389383,12,10,7.2,0.00536737932747193,83,0,138.656450107275,13.5066165071061,20.9496840805488,20.9531817127022,9,5.31025310968463,3.99118371972329
8.3,0.00529708722440635,76,0,165.649270213729,24.0430492280398,19.1863339967361,19.1782581708866,12,11,7.8,0.00539015015514162,80,0,151.425072301913,19.9343437428989,19.7956769542602,19.7880351389383,10,3.99118371972329,3.26197446961247
