outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,setpoint,month,hour,totCLG
13.45,0.00788480670608614,80.25,0,37.9809683731457,-39.5776958101847,21.995209247732,21.995209232402,9,2,0
12.925,0.00790402919916973,83.25,0,53.5791805279444,-31.5307347255852,23.8025181381952,23.802518138459,9,3,0
12.35,0.00781601169270616,85.5,0,66.3991272100728,-21.8237603537276,21.7394308444609,21.7394308444485,9,4,0.0500558163989531
11.375,0.00769155872975902,89.75,0,77.4287578578954,-11.1757508790624,22.5336188729656,22.5336191134272,9,5,0
11.55,0.00769455493665881,88.75,0,87.5698088348974,-0.0733799821575397,23.2209528903166,23.2209536594268,9,6,0
12.075,0.00762862610083732,85,498,97.6155498055409,11.1128076347869,21.7625055989147,21.7625055989131,9,7,0.0176182175250068
13.025,0.00759380370151318,79.5,653.75,108.363438698854,22.0258372042999,23.5367542757541,23.5367542757543,9,8,0
15.4,0.00751945361515406,67.5,743.25,120.751590475948,32.2183335090464,22.6144632659696,22.6144632659696,9,9,0.0559593738086245
18.575,0.00749315204315979,55,809.75,135.928860314624,41.0207713111944,23.7304084021883,23.7304084021883,9,10,1.13456794895175
21.5,0.00738781049426152,45.25,850.5,154.934566023431,47.4075687783593,22.0521192305216,22.0521192304394,9,11,3.65785331683323
24.3,0.00744844821097795,38.5,866.25,177.397033028095,50.109082372405,23.8059746480334,23.8059746481468,9,12,5.54151131057574
26.65,0.00739578312603478,33.25,856.75,200.29809510191,48.3704433107097,23.7831589440844,23.7831583773975,9,13,5.08371951156892
28.025,0.00735252166089097,30.5,821.75,220.19347143652,42.6955529644137,22.7631039813867,22.7631010811879,9,14,7.21327764812346
28.75,0.00735459730943648,29.25,762.25,236.154136986381,34.3283335416434,21.3053044581636,21.3052864031416,9,15,7.84081611962329
28.075,0.0073742225067538,30.5,676.25,249.057763060046,24.3765377152631,22.1006189788365,22.100627819166,9,16,6.30694337611806
26.525,0.00734089106568657,33.25,447,260.082247005346,13.5797040436479,21.8275382500221,21.827536604904,9,17,3.96375724746467
24,0.00745819862045134,39.25,0,270.212448829918,2.42200389617625,21.798292504029,21.7982925040289,9,18,1.24253775588719
21.65,0.0073733840842724,44.75,0,280.265597363037,-8.72909045993585,21.6796159482818,21.6796159482818,9,19,0.0169222307916012
19.825,0.00743688143772166,50.5,0,291.024389342741,-19.5145380475281,21.0039623402199,21.0039623402199,9,20,0.0246494621564549
18.2,0.00751887763826134,56.5,0,303.360502043697,-29.4832029079684,23.6790221149083,23.6790221149086,9,21,0.0236886070653658
16.975,0.00751369228961142,61,0,318.260551377349,-37.9776439231451,22.3604925217371,22.3604925217371,9,22,0.0378209085590957
15.875,0.00755126406876791,65.75,0,336.49173972439,-44.0437835843257,22.7352630136369,22.7352630165126,9,23,0
14.7,0.00753438992593872,70.75,0,2.31620464204798,-46.9667554074627,21.9468166166598,21.9468166165525,9,0,0
13.575,0.00742380640703991,75,0,19.2600964766404,-45.3034310717974,23.982050625061,23.9820506251986,9,1,0
12.475,0.00741492020561445,80.5,0,38.3165802449464,-39.8808249755412,23.951678893845,23.951678650659,9,2,0
11.825,0.00743535030502075,84.25,0,53.9374623995952,-31.786671889636,23.8936443774931,23.8936436732506,9,3,0
11.25,0.00734783619471573,86.5,0,66.7559065391407,-22.0450702227041,22.9987957568805,22.9987957171565,9,4,0
10.275,0.00728318709589894,91.5,0,77.779685788097,-11.3759150781956,23.1784726417256,23.1784745291236,9,5,0
10,0.0072081190359342,92.25,0,87.9188614299568,-0.264876785502155,22.0021276954775,22.0021276637159,9,6,0
10.45,0.00716616766480241,89,497.25,97.9692898592289,10.9180151419542,22.5683181148035,22.5683182990586,9,7,0
11.8,0.00708877458394446,80.5,651.5,108.727588256344,21.8151627191901,21.8200630968399,21.820063096825,9,8,0
14.3,0.00707745397287222,68.25,742.25,121.12592349559,31.9776106520975,23.1551370853067,23.1551370853067,9,9,0.00646002000869808
17.1,0.00704050503698384,56.75,806,136.295481853288,40.7349992027367,23.3340526690578,23.3340526690728,9,10,0.609106541368356
20.275,0.00703683812817062,46.5,847.5,155.238897264549,47.0672564358762,21.243192658685,21.2431926585872,9,11,3.36097511690005
23.575,0.00703362644669358,38,863.25,177.554899972534,49.7241474618068,21.6647234185714,21.6647404212235,9,12,4.39378054378996
26.125,0.0069496733466442,32.25,853.75,200.276006240538,47.9725858453149,21.611886478612,21.6118784821115,9,13,5.74791305211381
27.525,0.00690194847878374,29.5,818.75,220.045529472882,42.3126533802836,22.8722960311151,22.872297917687,9,14,7.30700856388165
28.175,0.00704884978593714,29,759.25,235.947556685486,33.9687788944265,23.1756000287843,23.1756153466113,9,15,5.89544170814102
27.475,0.00694053748041972,29.75,673.25,248.83068818143,24.0365176338416,23.5030890491371,23.5030925630947,9,16,4.87482565544946
26,0.00706016163254656,33,444.75,259.850350059743,13.2516395128726,21.0566861480499,21.0566861457799,9,17,4.97903177915375
23.5,0.00709471686317513,38.5,0,269.981136667436,2.09783482079207,21.6063528947166,21.6063528947167,9,18,1.37431380464219
20.7,0.0071474184989131,46,0,280.037415831876,-9.05724475590827,22.4072788856043,22.4072788856043,9,19,0.0205330705874485
18.35,0.00725108693808515,54,0,290.804092693896,-19.8543666297374,22.1351855446437,22.1351855445261,9,20,0
16.525,0.00723892514153962,60.5,0,303.16113186287,-29.8416639223733,22.0211812022686,22.0211812011582,9,21,0
15.275,0.00717916708264232,65,0,318.112523806003,-38.3583846550167,21.1915535544745,21.1915535544691,9,22,0
14.175,0.00717578263460099,69.75,0,336.448494921557,-44.4407064900752,23.2840078022105,23.2840078022207,9,23,0
13.45,0.0071890858773847,73.25,0,2.20263572031582,-47.3578321271701,22.2079862587028,22.2079862573528,9,0,0
13.3,0.00719201136614327,74,0,19.5202349196044,-45.6578823213157,23.0228691358163,23.02286914883,9,1,0
12.925,0.00723169887053266,76.25,0,38.6552815643409,-40.1835591410072,22.6532274855803,22.6532269772244,9,2,0
12.8,0.00717205547358016,76.25,0,54.2979442069001,-32.0421587502683,21.1543714997073,21.1543714997059,9,3,0.0253469702290969
12.8,0.00714827028595625,76,0,67.1140619923701,-22.2661404565412,21.9224878096246,21.9224878126981,9,4,0
12.8,0.00714827028595625,76,0,78.1313855559443,-11.5761830944691,23.8963343002962,23.8963343008423,9,5,0
12.35,0.00700711610153528,76.75,0,88.2682098370786,-0.456877301800856,23.7944262819413,23.7944254497695,9,6,0
12.65,0.00703042696083364,75.5,319,98.3228499464561,10.7223002974068,22.1340801796262,22.1340801796227,9,7,0.0286698093143002
14,0.00701672474532884,69,436.25,109.0909386722,21.6031625584023,22.8530105754044,22.8530105758403,9,8,0
16.125,0.00693672688210381,59.5,426.25,121.498532788009,31.7352439788993,22.6876001736287,22.6876001736287,9,9,0
18.35,0.00694558447748672,51.75,635.25,136.659115545061,40.447501602834,23.4916821289291,23.4916821289292,9,10,0.778090186633712
