outDryBulbTemp;outHumidityRatio;outRelHumidity;directSolarRad;solAzimAngle;solAltAngle;zoneMeanAirTemp;setpoint;month;hour;totHTG
1.7;0.00437677679089257;100;0;97.7104582894493;-26.3133478564929;18.012887903723;18.0128879037228;1;5;8.40555616013057
1.1;0.00419094470242588;100;0;106.799370906967;-15.3690240289298;18.2345053783516;18.2345054038676;1;6;6.39762857591341
0.6;0.00400083079463535;99;0;116.0608517233;-4.94096709412736;18.9287530609325;18.9287530934654;1;7;7.50433393881111
1.1;0.00419094470242588;100;200;126.043285560532;4.66010489595583;18.6719121635009;18.6719121211062;1;8;6.65720310885235
2.2;0.00417181246899168;92;472.5;137.201899555361;13.0428900034429;20.0858681955236;20.0858681955695;1;9;6.50041764038655
3.3;0.00416759212264254;85;605;149.853763009655;19.7146017873257;20.1006956860476;20.1006956860586;1;10;3.1969227206992
5;0.00419903285196553;76;698;164.009298517324;24.1169098120045;20.5554458567678;20.5554458567678;1;11;1.99338597118594
7.2;0.00418103745852047;65;733;179.175178832108;25.7609772448094;19.677178788031;19.677178788031;1;12;0.403684746302857
8.3;0.00416001956804112;60;703;194.398031710826;24.4321891124775;19.7109971534938;19.7109971534938;1;13;0
8.9;0.0043338162735421;60;613;208.695528460466;20.3054965777032;19.5927609795564;19.5927609795563;1;14;0
9.4;0.00425783701385599;57;484;221.515755004568;13.850229774848;20.576659034163;20.576659034163;1;15;0.294601488214667
8.9;0.0043338162735421;60;206.5;232.823009763648;5.6256753781012;19.3390375143283;19.3390375143283;1;16;1.20872998431198
7.8;0.00442480969726079;66;0;242.911445856414;-3.86517059096361;19.150143709248;19.1501437091069;1;17;3.20639782488277
6.7;0.00441451301165879;71;0;252.225897492983;-14.2204845266543;19.7860761969541;19.7860761983644;1;18;4.96110936967708
5.6;0.00449536663465574;78;0;261.303077425456;-25.122786101541;18.9151199210182;18.9151199209564;1;19;5.53016717159381
5;0.00447727359250462;81;0;270.842757559776;-36.2943253127731;18.303323341822;18.3033233411624;1;20;5.2239548421962
3.9;0.00460674478077772;90;0;281.961677252495;-47.4230389395525;19.1158181019221;19.1158181023415;1;21;6.30267770803801
3.9;0.00460674478077772;90;0;296.862576784202;-57.9973954715646;18.666465937549;18.6664659351773;1;22;6.04653550415376
3.3;0.00461213874422601;94;0;320.294926221335;-66.8223116174999;19.9296798828087;19.9296798830873;1;23;7.62519322947017
2.8;0.00459353777803474;97;0;2.57104667031787;-70.8396255084307;20.3299684753827;20.329968680024;1;0;6.66642356881175
2.2;0.00453722508139675;100;0;36.0031054515998;-67.5063880530177;19.2901021592488;19.2901021570841;1;1;7.53880123051593
1.7;0.00437677679089257;100;0;60.8477072690513;-59.0471597963104;19.8631845381728;19.8631845827848;1;2;7.45066383897479
1.7;0.00428863768551021;98;0;76.4408119266927;-48.6016555728871;18.8372239806042;18.8372239785537;1;3;7.75550568945689
1.1;0.00419094470242588;100;0;87.8699530319775;-37.5073499177389;19.4341433005266;19.4341433382288;1;4;7.50183365408998
0.6;0.00404150581907807;100;0;97.5366232662952;-26.3221096056921;18.944224792534;18.9442247701354;1;5;7.56052334524161
0.6;0.00400083079463535;99;0;106.637531096689;-15.3709200810781;20.4815097052251;20.4815097129938;1;6;9.59873699566111
0;0.00386847731571755;100;0;115.904489904794;-4.9316033889825;20.2294841929389;20.2294837973686;1;7;7.81071995670075
0.6;0.00400083079463535;99;160.5;125.888714588117;4.68504549494596;18.4329335712361;18.432933571231;1;8;9.48526045496398
1.1;0.00419094470242588;100;439.5;137.048450936918;13.087751026794;18.2047952836576;18.2047952821526;1;9;4.74885306973222
2.8;0.00440277267372457;93;621;149.704828629902;19.783207945752;19.596409615295;19.5964096152953;1;10;4.27690959108021
5.6;0.0044373225650709;77;717;163.873015801166;24.2112227950747;20.231865850243;20.231865850243;1;11;1.91567433641313
7.8;0.00442480969726079;66;663.5;179.062361596674;25.8794780276517;20.5072008572531;20.5072008572531;1;12;0.268131462219111
10.6;0.00445378925220359;55;504.5;194.316705810075;24.5695908828446;20.1619889535022;20.1619889535022;1;13;0
11.7;0.00444268226497954;51;380;208.646755190087;20.4547123105432;20.662867837058;20.662867837058;1;14;0.0112516961626055
11.7;0.00444268226497954;51;309;221.494906418789;14.0049753384503;18.4885601343729;18.4885601343729;1;15;0.0649002965908985
10.6;0.00445378925220359;55;145;232.823748095756;5.78173668325827;18.6037195349803;18.6037195349803;1;16;0.651541092394164
8.9;0.00447931717836754;62;0;242.928388553238;-3.71002592129886;20.6458845970085;20.6458845970085;1;17;3.885650299713
7.8;0.00449233649266536;67;0;252.255327434185;-14.0670528944101;19.3858768063667;19.3858768063664;1;18;5.11918049315928
6.1;0.00447464152008146;75;0;261.342560651139;-24.9708777169241;18.5611495008548;18.5611495008415;1;19;4.92087558294444
5;0.00458863913686531;83;0;270.889998181652;-36.1429875064285;20.1746467690419;20.1746467691517;1;20;6.62521506235968
4.4;0.0045589634392349;86;0;282.011361377538;-47.2706499135225;20.6506578923764;20.6506579140554;1;21;6.57674585392613
3.9;0.00460674478077772;90;0;296.894951956253;-57.8422825539246;20.3940338332946;20.3940337528242;1;22;6.21333076695687
3.3;0.00461213874422601;94;0;320.23493497469;-66.6680564423655;20.5289169047833;20.5289169702552;1;23;6.51164572411325
2.8;0.00459353777803474;97;0;2.85491140548697;-70.708868240387;19.6141388487233;19.6141388465477;1;0;7.43717064018476
2.2;0.00449152518241546;99;0;35.6198593970943;-67.4409859269114;18.6287672226031;18.6287672217865;1;1;7.18261609475532
1.1;0.00419094470242588;100;0;60.5379046446141;-59.0264288549516;19.5913363635688;19.5913363697381;1;2;7.92061086132455
1.1;0.00419094470242588;100;0;76.1977649352462;-48.60034432056;20.5299071524834;20.5299071817773;1;3;8.81897414060884
1.1;0.00419094470242588;100;0;87.6674126233412;-37.5119792526894;18.6460209207057;18.646020920702;1;4;9.3330323603617
0.6;0.00400083079463535;99;0;97.3573259231025;-26.3250582679564;20.150177628297;20.1501776310868;1;5;9.22181228059157
0;0.00379063624329885;98;0;106.4708904676;-15.3668910417572;20.5880039702034;20.588004952868;1;6;7.99864145759179
-0.6;0.00368011897806097;100;0;115.743916790007;-4.91607961830343;19.4137930010298;19.4137929859396;1;7;9.04958373262037
0;0.00386847731571755;100;132;125.730551148887;4.7164635897933;19.3815121050638;19.3815120857606;1;8;7.46118059665422
0.6;0.00404150581907807;100;400;136.8921824289;13.1394418919614;20.8275846424188;20.8275846430888;1;9;7.82727525039655
2.2;0.00430879223658393;95;599;149.554137514599;19.8589565762924;19.8850277661878;19.8850277661776;1;10;4.52172651342863
5;0.00431029948358843;78;696.5;163.736416080338;24.3128391785546;20.4191598613575;20.4191598613576;1;11;2.20607226871841
7.2;0.00431057634350122;67;733;178.950954122158;26.005169872164;19.2046206168755;19.2046206168755;1;12;0.437936248359008
9.4;0.00425783701385599;57;703;194.238491744282;24.7137463062875;18.9641830364211;18.964183036399;1;13;0
10.6;0.00429071602950295;53;591;208.602441110571;20.6099946252795;19.1364182011605;19.1364182012149;1;14;0
11.1;0.00426834163652788;51;417.5;221.479410488469;14.1650030234686;20.156908463926;20.156908463926;1;15;0.0568793664963684
10;0.00427750667631761;55;162;232.830398882542;5.94233242074892;18.5791921348857;18.5791921348857;1;16;0.721202504316715
8.9;0.00440655827649468;61;0;242.951655921979;-3.55098013216159;19.4699603430359;19.4699603430367;1;17;3.27057658727314
7.2;0.00437536588712089;68;0;252.291510780682;-13.9102025473928;18.3623123955237;18.3623123955236;1;18;4.65980843226288
5.6;0.0044373225650709;77;0;261.389380095997;-24.8158580435145;18.4197596682314;18.4197596685614;1;19;4.35965278591589
5;0.00442160566448693;80;0;270.945452772767;-35.988632804411;20.8415861349661;20.8415861350642;1;20;7.48440554632616
3.9;0.00450363141881605;88;0;282.070608375625;-47.1150418275611;19.8928301641311;19.8928301628939;1;21;6.85989890267842
3.3;0.00451329606392589;92;0;296.93887715527;-57.6832675823503;19.3159670446949;19.3159670363376;1;22;6.45576711573524
2.8;0.00449814070369531;95;0;320.188498172677;-66.5083870170749;20.1232848194303;20.1232848676323;1;23;7.06300879113352
1.7;0.00437677679089257;100;0;3.12911397908916;-70.5705586085368;19.5889391560106;19.5889391322555;1;0;7.18060828782347
2.2;0.00440014538239753;97;0;35.2338562031928;-67.3675302688968;19.9572805577529;19.9572807738089;1;1;7.01971331487602
2.2;0.00440014538239753;97;0;60.2209996680178;-58.9986515577085;20.3345525235591;20.3345528193248;1;2;7.07930995806892
1.7;0.00437677679089257;100;0;75.9477771532119;-48.5927356907789;19.8540536680449;19.8540536317896;1;3;7.50784508814948
1.7;0.00428863768551021;98;0;87.458771697078;-37.5106581992087;19.5062622243975;19.5062620858512;1;4;6.87553877246105
1.7;0.00428863768551021;98;0;97.1727006908829;-26.3221348067507;19.4561174258667;19.4561174067615;1;5;6.8659220347761
1.7;0.00428863768551021;98;0;106.299565555654;-15.3568916995517;18.3304489377917;18.3304489366902;1;6;7.50247617611739
2.2;0.00417181246899168;92;0;115.579238159927;-4.89436538619701;20.749649336239;20.7496495714915;1;7;10.2690441929943
2.2;0.00417181246899168;92;14;125.56889351507;4.75437388760269;19.2978557830714;19.2978557828937;1;8;8.35566329584571
2.8;0.00411684271744327;87;21.5;136.733186050517;13.197961056407;19.2809947750242;19.2809947730406;1;9;6.02340339980838
3.9;0.00409151712181503;80;23;149.401776334619;19.9418298519327;18.0878583998618;18.0878583998581;1;10;6.54581490138575
5.6;0.0040892838933404;71;29.5;163.599582864528;24.4217251269399;19.5312790828482;19.5312790828598;1;11;5.84521971735302
7.2;0.00398682957435093;62;23;178.84103946692;26.1380028495673;20.8911086069858;20.8911086070054;1;12;5.51232443493546
8.9;0.00397035953664415;55;23;194.163470890379;24.8645891208203;18.826050837944;18.826050837944;1;13;4.70590003239336
10;0.00396443241918839;51;32.5;208.562659214728;20.7712622401833;20.2302343204642;20.2302343204644;1;14;3.81670983901385
10;0.00396443241918839;51;39;221.469324730778;14.3302201979415;18.3504076457813;18.3504076457813;1;15;3.00407421140761
10;0.00412093041049909;53;20.5;232.843000760611;6.10736338138901;20.3079915537964;20.3079915537964;1;16;3.6592805814765
8.3;0.0040902299604545;59;0;242.981267364342;-3.38813465285394;20.2971584863155;20.2971584862295;1;17;3.91529127771657
7.2;0.00411628810884502;64;0;252.334448045402;-13.7500338369831;19.6222987739238;19.6222987732029;1;18;4.74910793735283
6.7;0.00410158174026785;66;0;261.443516433086;-24.6578241473369;18.5079547453711;18.5079547453706;1;19;5.42080688724412
5.6;0.00420525380463371;73;0;271.009078111652;-35.8313538661987;20.79036142088;20.7903614209102;1;20;6.99282989899662
4.4;0.0041853879826269;79;0;282.139341692666;-46.9563035024037;18.6246255407262;18.6246255407256;1;21;7.04059553722826
4.4;0.0041853879826269;79;0;296.994229567359;-57.5204403855167;18.0592819404295;18.0592819395314;1;22;5.54358318559453
3.9;0.00419449485690904;82;0;320.155505601742;-66.3434077065161;19.8048335641538;19.8048335641661;1;23;7.65859564310983
