outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,zoneCLGstp,month,hour,outDryBulbTempPrev,outHumidityRatioPrev,outRelHumidityPrev,directSolarRadPrev,solAzimAnglePrev,solAltAnglePrev,zoneMeanAirTempPrev,zoneCLGstpPrev,hourPrev,totCLGPrev,totCLG
31.7,0.00868283968086409,29,611.5,278.043617021465,27.3059078629256,23.0158974846407,23.025801758641,6,17,33.3,0.0085167551773675,26,706.5,268.450412005761,38.478731308687,22.2187132169697,22.2225134652719,16,1.65814727495425,1.3886415705392
30,0.00869578982793,32,398.5,287.069711553515,16.3809329538064,22.6446179647477,22.6446254453914,6,18,31.7,0.00868283968086409,29,611.5,278.043617021465,27.3059078629256,23.0158974846407,23.025801758641,17,1.3886415705392,1.38198713519
27.8,0.00861192988209041,36,134,296.255226400886,5.97590651692162,23.5740798385833,23.5794808829891,6,19,30,0.00869578982793,32,398.5,287.069711553515,16.3809329538064,22.6446179647477,22.6446254453914,18,1.38198713519,0.725234896212868
25,0.00872196535797934,43,0,306.139319306767,-3.60457834659379,23.8451102684385,23.8500022446551,6,20,27.8,0.00861192988209041,36,134,296.255226400886,5.97590651692162,23.5740798385833,23.5794808829891,19,0.725234896212868,0
23.3,0.00879298283951098,48,0,317.164675862984,-11.9782231340202,21.7630919399766,21.7491217075005,6,21,25,0.00872196535797934,43,0,306.139319306767,-3.60457834659379,23.8451102684385,23.8500022446551,20,0,0.00924281658629279
21.7,0.00880965665973778,53,0,329.63863797304,-18.665323374466,21.7876549925947,23.5277582159672,6,22,23.3,0.00879298283951098,48,0,317.164675862984,-11.9782231340202,21.7630919399766,21.7491217075005,21,0.00924281658629279,0
20.6,0.00885643804467254,57,0,343.57720030581,-23.1227845243058,20.9382632423617,23.1306533103358,6,23,21.7,0.00880965665973778,53,0,329.63863797304,-18.665323374466,21.7876549925947,23.5277582159672,22,0,0
19.4,0.00879814958126583,61,0,1.53513662480274,-24.8810092047222,19.9286478470662,21.626170033433,6,0,20.6,0.00885643804467254,57,0,343.57720030581,-23.1227845243058,20.9382632423617,23.1306533103358,23,0,0
18.9,0.00880783076528467,63,0,13.5109593323579,-23.7088020454533,19.090475974062,23.0410085432505,6,1,19.4,0.00879814958126583,61,0,1.53513662480274,-24.8810092047222,19.9286478470662,21.626170033433,0,0,0
18.3,0.00875156823776974,65,0,27.7048865667095,-19.756390076363,18.4745687935104,22.348287000714,6,2,18.9,0.00880783076528467,63,0,13.5109593323579,-23.7088020454533,19.090475974062,23.0410085432505,1,0,0
18.3,0.00875156823776974,65,0,40.4832231017989,-13.4679215046383,18.0989052694385,23.3124385594421,6,3,18.3,0.00875156823776974,65,0,27.7048865667095,-19.756390076363,18.4745687935104,22.348287000714,2,0,0
17.8,0.00887380324664186,68,0,51.7795146179126,-5.38743367677207,17.8113304032773,21.9376272279787,6,4,18.3,0.00875156823776974,65,0,40.4832231017989,-13.4679215046383,18.0989052694385,23.3124385594421,3,0,0
17.8,0.0087414720990818,67,83.5,61.8590262963061,3.98744222099656,17.8427112913741,22.9603814833851,6,5,17.8,0.00887380324664186,68,0,51.7795146179126,-5.38743367677207,17.8113304032773,21.9376272279787,4,0,0
18.3,0.00861506383046717,64,304,71.1447883500661,14.2554284451785,19.6487357736677,22.2013305253836,6,6,17.8,0.0087414720990818,67,83.5,61.8590262963061,3.98744222099656,17.8427112913741,22.9603814833851,5,0,0
19.4,0.0085057408402348,59,509,80.1541882603629,25.0993784046622,22.3406889144053,23.8464143012454,6,7,18.3,0.00861506383046717,64,304,71.1447883500661,14.2554284451785,19.6487357736677,22.2013305253836,6,0,0
20.6,0.00869888887923309,56,619.5,89.5618820907039,36.2453815564843,22.8482730220994,22.8587519045755,6,8,19.4,0.0085057408402348,59,509,80.1541882603629,25.0993784046622,22.3406889144053,23.8464143012454,7,0,0
22.8,0.00852734972825058,48,707.5,100.442114302583,47.3939597221801,21.541700622623,21.5345535153661,6,9,20.6,0.00869888887923309,56,619.5,89.5618820907039,36.2453815564843,22.8482730220994,22.8587519045755,8,0,0.00334138915210323
23.9,0.00854351532085114,45,720,114.929600817886,58.066899180968,23.5196896574092,23.5275447555758,6,10,22.8,0.00852734972825058,48,707.5,100.442114302583,47.3939597221801,21.541700622623,21.5345535153661,9,0.00334138915210323,0.0127599184560658
26.7,0.00852161477095494,38,740.5,137.806777588721,67.1448870379856,23.0425960148866,23.0418996723559,6,11,23.9,0.00854351532085114,45,720,114.929600817886,58.066899180968,23.5196896574092,23.5275447555758,10,0.0127599184560658,0.299809703253013
28.9,0.00841280490387892,33,794,175.556132375618,71.7198230774262,32.7271489345347,99,6,12,26.7,0.00852161477095494,38,740.5,137.806777588721,67.1448870379856,23.0425960148866,23.0418996723559,11,0.299809703253013,1.97214982709812
