outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,zoneCLGstp,month,hour,outDryBulbTempPrev,outHumidityRatioPrev,outRelHumidityPrev,directSolarRadPrev,solAzimAnglePrev,solAltAnglePrev,zoneMeanAirTempPrev,zoneCLGstpPrev,hourPrev,totCLGPrev,totCLG
27.8,0.0098269289735535,41,781.5,245.596893617265,43.2484466110663,21.182151606489,21.1821515956347,8,15,27.2,0.00971774982820027,42,819.5,228.846680709496,52.682230878593,23.6089805820603,23.6089805822207,14,7.08985781470997,8.01517277290445
27.2,0.00995282725081877,43,622.5,258.311349702654,32.6021213621403,21.5028432534172,21.5028441163014,8,16,27.8,0.0098269289735535,41,781.5,245.596893617265,43.2484466110663,21.182151606489,21.1821515956347,15,8.01517277290445,5.26134759664117
26.1,0.00997997881788789,46,438,268.951421580273,21.4799728685027,21.4338111525232,21.4338111435405,8,17,27.2,0.00995282725081877,43,622.5,258.311349702654,32.6021213621403,21.5028432534172,21.5028441163014,16,5.26134759664117,3.61675121037534
25,0.00995846935940777,49,181,278.741385772469,10.3143978686373,21.1012187266851,21.1012187261039,8,18,26.1,0.00997997881788789,46,438,268.951421580273,21.4799728685027,21.4338111525232,21.4338111435405,17,3.61675121037534,2.16443461695223
23.3,0.00990961732969659,54,0,288.520149504123,-0.562955525145374,21.4776840061393,21.4776840061393,8,19,25,0.00995846935940777,49,181,278.741385772469,10.3143978686373,21.1012187266851,21.1012187261039,18,2.16443461695223,0.606461628394323
21.7,0.0101611401218569,61,0,298.974821261035,-10.8113951957573,20.2630638048173,22.8153039421249,8,20,23.3,0.00990961732969659,54,0,288.520149504123,-0.562955525145374,21.4776840061393,21.4776840061393,19,0.606461628394323,0.00162786357501523
21.1,0.0101147061374245,63,0,310.747785424492,-20.0043382481044,19.4400131209409,21.3455338063718,8,21,21.7,0.0101611401218569,61,0,298.974821261035,-10.8113951957573,20.2630638048173,22.8153039421249,20,0.00162786357501523,0
20,0.0102026997211066,68,0,324.40570216327,-27.5704692380774,18.532590227138,22.8469958520828,8,22,21.1,0.0101147061374245,63,0,310.747785424492,-20.0043382481044,19.4400131209409,21.3455338063718,21,0,0
19.4,0.0101173523890671,70,0,340.193271977715,-32.7920566437467,17.8504035028903,21.065025795728,8,23,20,0.0102026997211066,68,0,324.40570216327,-27.5704692380774,18.532590227138,22.8469958520828,22,0,0
18.9,0.0102288913422467,73,0,2.34881939305655,-35.2819025093922,17.3566220218832,21.1038350512907,8,0,19.4,0.0101173523890671,70,0,340.193271977715,-32.7920566437467,17.8504035028903,21.065025795728,23,0,0
